State,price_per_g,price
Alaska,362.46503267973856,32.48372549019608
Arizona,192.32912417030923,19.921282175813502
Arkansas,343.1725873479946,24.501608391608393
California,322.9297344409366,14.879179303449426
Colorado,210.79869506185634,23.243477530449393
Connecticut,340.94930468402714,33.17391304347826
Florida,1121.3545150501673,31.06020066889632
Illinois,327.0764421170228,25.704167741935482
Maine,673.3331704043954,23.12097986577181
Maryland,746.8075324675325,32.594848484848484
Massachusetts,1982.8336890713651,21.30076458752515
Michigan,86.62822184638232,9.957493775343245
Minnesota,3219.5180722891564,30.373493975903614
Mississippi,269.5139586301437,30.687960784313727
Missouri,232.05849957157207,34.99751571009636
Montana,1274.3731609920133,25.819444444444443
Nevada,302.6712285456188,22.67493224932249
New Jersey,1061.0671717171717,31.06126262626263
New Mexico,370.2346558704453,21.139605263157897
New York,1524.0837967533876,29.058765432098767
Ohio,247.73650153342612,33.811629726206
Oklahoma,80.8751713109824,20.711386465456258
Oregon,260.74919236417037,15.070264317180618
South Dakota,3956.043956043956,36.0
Vermont,3823.75,37.2375
Washington,492.0638185654008,26.30168776371308
